line_no	text	annotation
1	بسم الله الرحمن الرحيم	Opening basmala invoking God's mercy.
2	حمداً لك يا واهب النفوس والعقول، وشكراً لك يا مخترع ماهيات الأركان والأصول	Praise to God as giver of souls, intellects, and first principles.
3	وصلاة وسلاماً على المتأدب بأعلى الآداب والمنعوت بأحسن الشمائل فلا قدرة	Blessings on the Prophet, model of perfect adab and noble character.
4	للمعلل على الوقوف على كنه قدره ولو لم يألو جهداً في إيراد الدلائل، وعلى آله وصحبه	Even the disputant cannot fully grasp the Prophet's rank despite many proofs; blessings extend to family and companions.
5	المنتهضين لإلزام كل مكابر باستنادهم إلى أعظم برهان ما جرت مناظرة وتناظر	The companions are praised as confuters of obstinate opponents by decisive proof.
6	اثنان وبعد فإن تراب أقدام العلماء وغبار مجالس الفضلاء أقل عباد الله	Transition to the preface; the author humbly describes himself before the scholars.
7	الصمد أبو السعود ابن أحمد بن محمد الكواكبي أصلح الله تعالى حاله وبلغه يمنه وآماله	Authorial self-identification: Abu al-Su'ud al-Kawakibi names himself with a prayer.
8	بقوله هذه أوراق متعلقة بالرسالة المشهورة في صناعة الآداب المنسوجة	He introduces these pages as notes attached to the well-known treatise on debate etiquette.
9	إلى المولى المحقق والعلامة المدقق شهاب الملة والدين أحمد الطاش كبري	The base text is attributed to Ahmad Taşköprüzade, praised with honorifics.
10	عليه رحمة الكريم الوهاب ما سمح به الفكر الفاتر والنظر القاهر عند مطالعتها	The gloss is presented modestly as a product of limited reflection while reading the treatise.
11	مع بعض الإخوان هذا والمسؤول ممن حسن خيمه وجبل على الإنصاف أديمه إن	The author asks fair-minded readers for charitable reception.
12	ينظر إليها بنظر الإحسان وإصلاح ما فيها من الزلل والخطأ والهذيان فإني معترف	He explicitly requests correction of slips, mistakes, and confused passages.
13	بأن بضاعتي مزجاة وظلي قلص من ظل خطاه شعريكون أجاجاً دونكم فإذا غدا	The author intensifies his humility, calling his own contribution meager beside his predecessors.
14	لديكم تلقى نشركم فيطيب وعلى الله جل شأنه اعتمادي وهو حسبي ونعم الوكيل قوله 	He entrusts the work to God, then turns to the lemma of the base text.
15	اعلم أن المناظرة إلخ آداب البحث والمناظرة في صناعة التقرير والتحرير كعلم المنطق في الروية 	The commentary opens by comparing adab al-bahth to logic in ordering thought and exposition.
16	والتفكير وبها يقصر سبيل المرام وتخلص مقيلة الكلام حتى إن متقدمي المنطقيين	This discipline shortens the path to correct inquiry and clarifies speech.
17	كانوا يجعلون مباحثها ذيلاً للمنطق ثم إن المتأخرين أفردوها على حدة ودونوا فيها	Earlier logicians treated it as part of logic; later scholars made it independent.
18	كتباً ورسائل بوفور الحاجة إليها في المباحثة والأبحاث لدى الأفاضل هذا وقد كان من	Its separate codification is justified by practical scholarly need in disputation.
19	أصحاب التصنيف والتدوين أن يصدروا كتبهم بطائفة من الكلام في ماهية العلم وموضوعه والحاجة	He notes the convention of opening books with a prolegomenon on definition, subject, and utility.
20	إليه يدعونه بمقدمة الشروع وحيث ترك المصنف ذلك روماً للاختصار وتحاشياً 	Taşköprüzade omitted that preface for brevity, so the commentator supplies it.
21	عن الإكثار فلا علينا في إيضاحه وبيانه فنقول آداب البحث صناعة نظرية	Beginning of the commentator's own formal definition of the science.
22	الطالب معرفة طرق المناظرة وشرائطها صيانة له عن الخبط في البحث	Adab al-bahth teaches methods and conditions of debate to prevent confusion.
23	وموضوعه المباحث والأبحاث من حيث التأليف والتوجيه	The subject matter is debates and argumentative exchanges as structured and directed.
24	ثم لما كان ذلك مختلفاً باختلاف كل مسألة وكل علم فإن لم تكن ضرورية فلابد لحصول العلم	Debate procedure varies across questions and sciences, especially in non-self-evident matters.
25	أو الظن بها من توضيحات وأدلة وإزالة نسبة السؤال وتعرف أقسام الاعتراضات 	Knowledge or probable judgment requires proofs, clarifications, and recognized objection-types.
26	والتوجيهات وهي ليست بضرورية فلا جرم دعت الحاجة إلى معرفة قانون يفيدنا	Because such procedures are not self-evident, a regulating discipline is needed.
27	معرفة القدر الكافي من الهيئات وأقسام الاعتراضات والجوابات الموجهات منها	The science teaches sufficient forms of objections and directed responses.
28	وغير الموجهات وهو هذا العلم ثم إن ههنا تنبيهاً يحسن الوقوف عليه وهو أن	It also distinguishes proper from improper responses; a new analytical note follows.
29	كل علم يقع فيه البحث إما أن يتعلق بالألفاظ أو المعاني أو بهما جميعاً، أما الأول فكعلم 	Sciences are classified by whether they concern words, meanings, or both.
30	اللغة والنحو والصرف والعروض وغير ذلك من العلوم العربية وأما الثاني فأقسام	Examples of word-based sciences: language, grammar, morphology, and prosody.
31	المعقولات كالإلهي والطبيعي والرياضي والطب والأخلاق وجملة ما لا تعلق له بالألفاظ	Meaning-based sciences include metaphysics, natural science, mathematics, medicine, and ethics.
32	وأما الثالث فكعلم التفسير وعلم الحديث وأصول الفقه وما شابه ذلك وفي كل واحد من	Mixed sciences include tafsir, hadith, and usul al-fiqh.
33	هذه العلوم اصطلاحات ومسلمات يجب على الباحث في ذلك العلم أن يسلمها فيه سواء كانت	Each science has its own conventions and accepted premises that the debater must grant.
34	يقينية أم لا وذلك لأن أدلة كل علم لها غادية في القوة والمرتبة بنفس التجاوز إلى ما فوقها	Proofs differ in strength by discipline and do not automatically transfer upward.
35	ويحصل الغرض من ذلك العلم بها كالفقه مثلاً فإن قصارى أدلته الظن الغالب ويحصل به	Fiqh is given as an example: strong probability suffices for its practical aim.
36	المطلوب من الفقه من العلم بوجوب العمل فح لا يطلب في كل علم إلا ما هو متيسر فيه	One should demand from each science only the level of proof proper to it.
37	فلا يطالب في الفقه والنحو مثلاً البرهان بل يقتصر على حصول الظن الغالب والأخذ بالأولى	Demonstrative certainty is not required in fiqh or grammar; probable reasoning may suffice.
38	 والأحسن ودلائل العلوم وقد ترتب في القوة والضعف أدناها مرتبة دلائل النحو والتصريف	The sciences' proofs are ranked by relative weakness and strength.
39	وما يتعلق بعلم اللغات ثم دلائل الفقه ثم أصول الفقه والخلاف ثم الحكمة ثم 	He orders them upward from philology to fiqh, usul, khilaf, and philosophy.
40	المنطق ثم الهيئة ثم الهندسة وهي أعلى الدلائل قوة انتهى قوله:هي النظر إلخ من العجب أن الإمام السمرقندي	The sequence culminates in logic, astronomy, and geometry; then he turns to Samarqandi's definition.
41	تعريفها بمدافعة الكلام من الجانبين إظهاراً للصواب عرفها بذلك التعريف في الرسالة و	He notes that al-Samarqandi defined debate as two-sided disputation aimed at truth.
42	قد تعسف بعضهم في توجيه ذلك بأنه مجرد متابعة للإمام النسفي فتأمل قوله	He rejects the strained claim that Samarqandi merely followed al-Nasafi.
43	مأخوذة من النظر إلخ بيان للمناسبة بين المعنى المنقول منه والمعنى المنقول إليه	The term is discussed etymologically through its relation to naẓar, "consideration."
44	ولم يذكر الشارح من المعاني اللغوي النظر بالبصيرة والنظر بمعنى المقابلة وقد تابع في	The commentator notes omitted lexical senses such as inner seeing and confronting.
45	ذلك المدقق مسعود الرومي ولم يخفى عليك قوة المناسبة باعتبار	He observes that Mas'ud al-Rumi followed the same lexical selection.
46	Folio 2	Folio marker for the second manuscript page.
47	فإن قلت باعتبار المعنى الأول يفضي إلى الاتحاد بين المعنى اللغوي والمعنى المصطلح عليه لأنه 	Objection: deriving the technical sense from the lexical sense risks collapsing the distinction.
48	مأخوذ فيه فلم يحسن ذكره قلت يجاب عنه بأن الاتحاد مندفع بناء على أن المغايرة حاصلة من	Response: extra technical restrictions preserve difference between lexical and technical usage.
49	با قی القيودالتی الحذت فی المعنى المصطلح لايقال ان قد اظهر ماخفي من المعانى اللغويي واخفى	He addresses a further objection about highlighting obscure lexical senses while neglecting obvious ones.
50	 ما ظهر منها لأنه يقال يجوز أن يكون الأمر بالعكس فتأمل قوله والمراد بالنظر إلخ	The commentator says the valuation could be reversed; then returns to defining naẓar.
51	 لا يخفى أن المشهور في هذا المقام تفسير النظر بالفكر بقرينة استعماله بفي لكن حيث أورد على 	Common view: naẓar here means fikr, "thought," due to standard usage.
52	تعريف المناظر بأنه غير جامع لأنه يصادق على المنع المجرد لأن السائل إذا اقتصر على مجرد المنع	Problem: that definition excludes the questioner who only raises bare denial.
53	لا يصدق عليه ترتيب أمور معلوم على وجه يؤدي إلى استعلام ما ليس بمعلوم الذي هو	Bare denial does not fit the classic definition of thought as arranging known premises.
54	معنى الفكر فعدل بعض المحققين عن التفسير المذكور وفسر النظر بالتفات النفس إلى المعاني 	Some therefore redefine naẓar as the soul's turning toward meanings.
55	ليصدق التعريف على تلك الصورة فإن النفس السائل لها التفات إلى المعاني وإن لم يكن لها	This broader sense includes the questioner's mental orientation even without full inferential thought.
56	فكر بالمعنى المذكور وهو تكلف فإن النظر بهذا المعنى يكون مستعملاً بإلى وقد تعسف بعض 	He judges this reinterpretation forced, partly on linguistic grounds.
57	الأفاضل في التوجيه حيث قال إن النظر إذا كان بمعنى الالتفات يكون مستعملاً بفي وإذا عبر عنه	He criticizes attempts to justify the shift through different prepositions.
58	بلفظ الالتفات يكون مستعملاً بإلى هذا ثم إن الشارح سلك هذه الطريقة حيث فسر 	The commentator notes that the sharh itself followed this broadened path.
59	النظر بالتوجه نحو المعقولات وكان الداعي لذلك توجه الإيراد الذي ذكرناه آنفاً لكن بقي 	The motive was to solve the earlier objection, though another issue remains.
60	هنا شيء وهو أنه ذكر في آخر البحث الإيراد المذكور وأجاب عنه بأن المنع مفوت لإثبات 	The sharh later answers that bare denial affects the establishment of predication.
61	النسبة الحكمية فيكون من قبيل النظر فيها وما بنى دفعه على تفسير النظر بما ذكر فلا 	So denial can count as relevant to naẓar without redefining the term.
62	يكون للعدول عما هو المشهور وجه على أنه قد يجاب عن ذلك الإيراد بأن الفكر مقول 	Therefore leaving the standard interpretation is unnecessary; another reply is offered.
63	بالاشتراك اللفظي على معنيين أحدهما الحركات التخيلية والثاني ترتيب أمور معلومة	Fikr can mean either imaginative mental movement or formal arrangement of premises.
64	إلخ والأول أعم من الثاني وليس المراد بالفكر ههنا المعنى الثاني بل المراد به المعنى الأول فح	The wider first sense is preferable here because it covers more cases.
65	يتناول التعريف تلك الصورة بلا كلفة فإن المانع منها مجرداً إذا منع مقدمته من مقدمات	Thus the definition can include bare denial without strain.
66	الدليل لا يدل من حركات تخيلية بأن المنع وارد أم لا فإن كان وارداً فعلى أي مقدمة من	The questioner still engages mentally by determining whether and where objection applies.
67	مقدمات الدليل فإن من المقدمات ما لا يتوجه عليه المنع أصلاً كالبديهيات والمسلمات 	Some premises, like self-evident or conceded ones, are not open to objection.
68	أقبل أن ذلك الفكر لا دخل له في كون البحث مناظرة وإنما الدخل للفكر الواقع في 	Yet such preliminary mental motion is not what makes an exchange a debate.
69	نفب	This line appears corrupt or incomplete in the transcription.
70	الحكم التنازع فيه ثبوتاً أو نفياً فقد أورد عليه بأن السائل ما لم يورد المنع	What matters is thought concerning the disputed predication, affirmatively or negatively.
71	لا يكون البحث مناظرة وما لم يتحقق ذلك لا يورد المنع فتأمل جيداً.قوله لإخراج	He states the circularity objection, then turns to the clause excluding pre-issue consideration.
72	النظر قبل تحرير البحث قبل التحرير الأمر إذ يقال حرره لأمر كذا أي أفرزه له في الصحاح تحرير الكتاب	He explains taḥrīr through lexical senses such as correcting or setting something free.
73	تقويمه وتحرير الرقبة عتقها وتحرير الولد تقريبه لطاعة الله وخدمة المسجد وتحرير	More lexical examples continue to ground the meaning of taḥrīr.
74	الكلام تهذيبه وتحرير البحث تعيينه وتعريفه كما إذا ادعى أحد أن النية ليست بشرط	Technical taḥrīr al-baḥth means defining and specifying the issue under dispute.
75	في الوضوء فيقول المراد بالنية ما يكون بالقلب وهي القصد ويعرف الشرط والوضوء	Example: in debating intention in ablution, the disputed terms must be defined.
76	وإنما يجب عليه ذلك التعيين محل النزاع ويكون التوارد بالنفي والإثبات على شيء	Specification ensures affirmation and negation target the same precise matter.
77	واحد من الجانبين ولا حاجة إليه إذا كان البحث مشهوراً أو يعرفه الخصم ولا يطلبه	If the issue is already clear to both parties, such clarification may be unnecessary.
78	قوله والمراد بالجانبين إلخ هذا أولى مما ذهب إليه المدقق مسعود الرومي	He prefers interpreting "the two sides" differently from Mas'ud al-Rumi.
79	فإنه فسرهما بالمتخاصمين وأما عدم شمول المعلل والسائل لصورة المعارضة بلا كلفة	Al-Rumi read them as two litigants, which creates difficulties for opposition cases.
80	بناء على أن السائل طالب والمعارض ليس يطالب بل هو معلل أيضاً فلابد من أن يتكلف	In mu'arada the opponent also argues, not merely asks, so categories must be handled carefully.
81	ويقال المراد بالمعلل الحافظ للوضع لإقامة الحجة وبالسائل الهادم للوضع بالمنع والمعارض 	He reframes the roles as establisher versus underminer of the argumentative position.
82	فقد يدفع بأن المعارضة منع المدلول مع إقامة الدليل على خلاف ما أقام عليه الخصم وإن	Mu'arada is defined as opposing the conclusion with a counter-proof.
83	التعريف بإقامة الدليل إلخ ما صحة مشهورة على أنه لا تكلف في ذلك الحملأصلاً فإنه أحد	He says this reading is not excessively forced and rests on accepted role-definitions.
84	المعاني التي ذكرت للمعلل والسائل لا يقال الجانبان أعم من المعلل والسائل والعام لا يدل على الخاص	He answers the objection that the expression is too general.
85	بدلالة أصلاً لأن ذلك مشترك الالتزام فإن المتخاصمين أخص أيضاً وما هو جوابكم 	The same problem would affect rival formulations as well.
